2023-10-15 09:00:51,447 Model 1, rep:5, n:21670, nind:25, iters:0
2023-10-15 09:00:53,890 Model 1, rep:0, n:3675, nind:8, iters:0
2023-10-15 09:00:56,427 Model 1, rep:1, n:3675, nind:8, iters:0
2023-10-15 09:00:57,196 Model 1, rep:1, n:69303, nind:70, iters:0
2023-10-15 09:00:59,065 Model 1, rep:2, n:3675, nind:8, iters:0
2023-10-15 09:01:01,597 Model 1, rep:3, n:3675, nind:8, iters:0
2023-10-15 09:01:04,126 Model 1, rep:4, n:3675, nind:8, iters:0
2023-10-15 09:01:05,674 Model 1, rep:3, n:37547, nind:40, iters:0
2023-10-15 09:01:06,875 Model 1, rep:6, n:21670, nind:25, iters:0
2023-10-15 09:01:07,218 Model 1, rep:5, n:3675, nind:8, iters:0
2023-10-15 09:01:09,652 Model 1, rep:6, n:3675, nind:8, iters:0
2023-10-15 09:01:11,908 Model 1, rep:2, n:53425, nind:55, iters:0
2023-10-15 09:01:12,342 Model 1, rep:7, n:3675, nind:8, iters:0
2023-10-15 09:01:14,794 Model 1, rep:8, n:3675, nind:8, iters:0
2023-10-15 09:01:15,426 Model 1, rep:1, n:82005, nind:82, iters:0
2023-10-15 09:01:17,602 Model 1, rep:9, n:3675, nind:8, iters:0
2023-10-15 09:01:20,040 Model 1, rep:10, n:3675, nind:8, iters:0
2023-10-15 09:01:22,365 Model 1, rep:7, n:21670, nind:25, iters:0
2023-10-15 09:01:22,929 Model 1, rep:11, n:3675, nind:8, iters:0
2023-10-15 09:01:25,290 Model 1, rep:12, n:3675, nind:8, iters:0
2023-10-15 09:01:28,114 Model 1, rep:13, n:3675, nind:8, iters:0
2023-10-15 09:01:28,466 Model 1, rep:1, n:90473, nind:90, iters:0
2023-10-15 09:01:31,077 Model 1, rep:14, n:3675, nind:8, iters:0
2023-10-15 09:01:32,901 Model 1, rep:4, n:37547, nind:40, iters:0
2023-10-15 09:01:33,840 Model 1, rep:15, n:3675, nind:8, iters:0
2023-10-15 09:01:36,528 Model 1, rep:1, n:96824, nind:96, iters:0
2023-10-15 09:01:36,710 Model 1, rep:16, n:3675, nind:8, iters:0
2023-10-15 09:01:39,152 Model 1, rep:8, n:21670, nind:25, iters:0
2023-10-15 09:01:39,521 Model 1, rep:17, n:3675, nind:8, iters:0
2023-10-15 09:01:42,050 Model 1, rep:18, n:3675, nind:8, iters:0
2023-10-15 09:01:44,658 Model 1, rep:19, n:3675, nind:8, iters:0
2023-10-15 09:01:47,694 Model 1, rep:2, n:69303, nind:70, iters:0
2023-10-15 09:01:48,328 Model 1, rep:0, n:4734, nind:9, iters:0
2023-10-15 09:01:51,696 Model 1, rep:3, n:53425, nind:55, iters:0
